	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-DJ-A3US-01A	8.763838126	9.335390355	7.636035428	5.115226509	9.894421405	10.64183118	8.711166312	8.025911341	10.37018027	11.1393906
TCGA-DJ-A3UT-01A	5.122865543	5.087462841	4.63287147	3.29494296	3.934293226	8.279977256	4.929296449	7.720547472	10.68069563	11.30485747
TCGA-DJ-A3UU-01A	7.2170492	7.321928095	6.196400029	3.017503862	7.323834631	9.824621416	8.291539931	7.568131502	9.758001301	12.53328811
TCGA-DJ-A3UV-01A	7.206376627	7.417852515	5.73450024	4.008730046	6.030314459	9.93438827	8.384636492	8.200533882	10.80378102	13.58687108
TCGA-DJ-A3UW-01A	8.298798211	7.714245518	5.677799824	4.004524728	9.693765924	10.09647856	8.629382143	7.586210266	9.361103229	12.42596856
TCGA-DJ-A3UX-01A	7.892507933	8.092757141	6.292054004	3.953914315	8.778918559	9.753281058	7.158914934	7.378711991	10.1372677	11.97219258
TCGA-DJ-A3UY-01A	7.23686509	5.700439718	4.497366324	3.119788998	6.583385508	10.15828821	9.422840576	8.004720139	10.40796252	13.86711602
TCGA-DJ-A3UZ-01A	7.927212021	7.451211112	6.314523331	4.069117442	9.472671155	9.773007416	6.793415164	7.573219959	10.43986803	11.74460189
TCGA-DJ-A3V0-01A	6.376862466	6.044394119	5.279691295	3.040444524	5.459114873	9.262106936	7.778424532	7.319997458	10.20410406	13.62874081
TCGA-DJ-A3V2-01A	9.007077993	9.73978061	7.223798857	4.909341964	10.05047024	10.95684131	8.114757699	7.973426769	10.1374077	11.61765588
TCGA-DJ-A3V3-01A	7.625061729	8.335390355	6.122205614	3.261240699	8.052371743	9.691667886	6.610762656	7.552902463	10.3393958	11.35199499
TCGA-DJ-A3V4-01A	6.765416426	6.714245518	5.32577482	2.478962887	6.50627051	9.484162015	8.753140866	7.487766392	10.4064412	12.30907767
TCGA-DJ-A3V5-01A	6.744971071	4.754887502	4.498486293	1.50960195	5.10100322	9.288992449	9.427912828	7.36775017	9.569690956	13.36512069
TCGA-DJ-A3V6-01A	6.679177916	6.375039431	4.748359784	2.689739424	4.777061949	8.985347505	8.203811177	7.431904183	9.46233164	12.79280377
TCGA-DJ-A3V7-01A	6.947688935	5.614709844	4.203555037	2.186481637	5.609803383	9.179898819	7.65717326	7.770271767	9.405575164	10.01214068
TCGA-DJ-A3V8-01A	6.584371404	5.459431619	4.312983321	1.790592889	6.105980906	9.353388787	7.938295594	6.939179556	9.852870547	11.55480054
