"","relapse_kz_s1","relapse_kz_s2","relapse_kz_s3","relapse_kz_s45"
"ACP5",0.0972172467292817,0.558184371085466,0.000215056131741674,0.23747236246055
"ACP6",0.000202428485718109,0.256135936841885,0.000126600041082391,0.0405054465469009
"ACPL2",0.217039372495253,0.851984225003172,0.000128364537333329,0.611203423307321
"ACPP",0.174967802521228,0.636536123317006,0.000170514831621695,0.797612555248765
"ACPT",0.555466131695914,0.464137783428289,0.784008263506237,0.333739866269069
"ACR",0.787590137886318,0.329919663135811,0.116151108840743,0.512713832604239
"ACRBP",0.682715923282773,0.702992761612751,1.35403806441538e-05,0.888106383483943
"ACRC",1,0.341573715746333,0.000207408699004047,0.86533509284756
"ACRV1",0.120314654454974,0.490834376807042,0.0811559582448206,0.845709912216877
"ACSBG1",0.500617864330622,0.80289909029001,0.454560470072099,0.131853788955636
"ACSBG2",0.219043622181622,0.61695598515166,0.114201762244505,0.680321220619294
"ACSF2",0.206103368756684,0.634751114793394,0.272740302478729,0.643384944604462
"ACSF3",0.027430310471911,0.803898638852088,0.641597180256642,0.281519384695022
"ACSL1",0.0825505410743367,0.631064371613954,0.0567680146267545,0.0595461400190948
"ACSL3",0.902764553036852,0.124381304291937,0.0139063912191841,0.0732701858442162
"ACSL4",0.806345699386675,0.115812982160053,0.00658053685312045,0.507519278425881
"ACSL5",1,0.642330410061196,4.8680409273891e-05,1
"ACSL6",1,0.713469725901296,0.000997492446257596,0.170833601320359
"ACSM1",0.133124209397552,0.318946669133343,0.10372722266204,0.432259473617333
"ACSM2A",0.133135666417482,0.318332562537889,0.102827249106032,0.530949827457306
"ACSM2B",0.133124209397552,0.318332562537889,0.103298962525168,0.530949827457306
"ACSM3",0.0856027318114736,0.319063706121823,0.104439914560905,0.272444618626074
"ACSM4",0.472181708569571,0.437688070366731,4.35373134034328e-06,0.887430864849067
"ACSM5",0.133175939334169,0.424747677938848,0.086438452858402,0.532982540993241
"ACSS1",0.716523084302363,0.724916127949526,0.0979921800633984,0.162265501404624
"ACSS2",0.859557725928135,0.304671586077736,0.415251796615967,0.447399825662781
"ACSS3",0.739218547448524,0.0318739339827404,0.000225442923260277,0.729905745880926
"ACTA1",9.25782528445301e-06,0.015734384171764,0.00409156494058744,0.00253438021945814
"ACTA2",0.435552008146472,0.155846118653019,0.00215229375853937,0.660786094816014
"ACTB",0.791098755812483,0.859565275412427,0.65112899531284,0.894352954305134
"ACTBL2",0.436860785461598,0.31474407533395,0.0769787092079801,0.0650852170201002
"ACTBP12",0.566642826927075,0.603652088553638,0.00299960224029654,0.109633579194001
"ACTC1",0.214181198841083,0.37616314615328,0.373899621188496,0.527545130205012
"ACTG1",0.113425380894149,0.642965988663755,0.000710947800567778,0.88804590050597
"ACTG2",0.516627286571553,0.840256611117893,0.163323945355095,0.00673108044697492
"ACTL10",1,0.548870029047208,0.224332234859213,0.201639707542232
"ACTL6A",0.170126842056133,0.364660698510523,1.08409759124327e-08,0.611364668106332
"ACTL6B",0.32328837824777,0.652043572125197,0.0669224697250421,0.898842116310673
"ACTL7A",1,0.37018517195379,0.099070417857249,0.130987156825037
"ACTL7B",1,0.37018517195379,0.099070417857249,0.130987156825037
