	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
TCGA-06-0680-11A	0.000961327	0.003836527	0.076770192	0.014805865	0.011153166	0.000547829	1.79E-09	0.891925093
TCGA-06-0681-11A	0.000669305	0.004796199	0.071195196	0.012008991	0.011602495	0.000402481	2.44E-09	0.89932533
TCGA-06-0686-01A	0.002286665	0.008831325	0.121572658	0.028314312	0.139094377	0.000110117	2.32E-09	0.699790544
TCGA-06-0743-01A	0.000928	0.012916362	0.107236349	0.012873678	0.034280215	0.000100881	2.86E-09	0.831664512
TCGA-06-0744-01A	0.00209945	0.01350776	0.09423764	0.016138219	0.038678507	0.000111619	3.25E-09	0.835226801
TCGA-06-0745-01A	0.000763842	0.015981782	0.167065333	0.02116409	0.064331642	5.85E-05	6.79E-09	0.730634828
TCGA-06-0747-01A	0.002214257	0.010941361	0.196805657	0.020593279	0.030617089	0.000234278	5.46E-09	0.738594074
TCGA-06-0749-01A	0.001698953	0.011144572	0.071448567	0.011532113	0.058917441	4.35E-05	2.42E-09	0.845214818
TCGA-06-0750-01A	0.001828495	0.00813206	0.107428609	0.012323421	0.045805031	6.53E-05	5.51E-09	0.82441704
TCGA-06-0878-01A	0.001640208	0.006757182	0.168130974	0.023120208	0.047794775	0.00022844	1.78E-10	0.752328212
TCGA-06-0882-01A	0.002070114	0.006677923	0.143289826	0.016055527	0.052284	0.000164659	1.23E-08	0.779457938
TCGA-06-1804-01A	0.003962685	0.014701133	0.087960473	0.022133671	0.04242389	0.000269804	2.47E-09	0.828548341
TCGA-06-2557-01A	0.002779379	0.012292595	0.091410182	0.038423652	0.07913318	0.000416223	1.25E-08	0.775544775
TCGA-06-2558-01A	0.003148373	0.01123065	0.140185677	0.028738351	0.065475346	0.000511067	3.22E-10	0.750710536
TCGA-06-2559-01A	0.002027743	0.009082155	0.141919174	0.03187704	0.043030308	0.000809988	8.73E-10	0.771253591
TCGA-06-2561-01A	0.001044153	0.004671101	0.09736627	0.020475351	0.043396862	0.000326019	5.88E-09	0.832720239
TCGA-06-2562-01A	0.007302192	0.006556495	0.10791439	0.018730618	0.038922797	0.000262869	1.32E-09	0.820310638
TCGA-06-2563-01A	0.002118795	0.010714806	0.205580661	0.024014749	0.041275047	0.000169059	7.53E-09	0.716126877
TCGA-06-2564-01A	0.002621791	0.006419693	0.121934968	0.024127663	0.048842795	0.000481991	6.70E-11	0.795571099
TCGA-06-2565-01A	0.003926156	0.008169915	0.16314263	0.028212367	0.041383404	0.000374063	7.04E-10	0.754791465
TCGA-06-2567-01A	0.00398876	0.021210666	0.131073396	0.022775825	0.060289026	0.000487439	3.57E-09	0.760174885
TCGA-06-2569-01A	0.007402451	0.012124279	0.175177323	0.029158967	0.061432898	0.000954974	1.11E-08	0.713749097
TCGA-06-2570-01A	0.003263406	0.008008583	0.131646126	0.027807063	0.074700295	0.000368619	2.22E-10	0.754205908
TCGA-06-5408-01A	0.003174419	0.008224785	0.177284145	0.027397069	0.046714786	0.000376612	1.29E-08	0.736828171
TCGA-06-5410-01A	0.001796707	0.007743278	0.122135644	0.016372828	0.120743372	9.09E-05	8.74E-10	0.73111723
TCGA-06-5411-01A	0.007675548	0.011360606	0.083990636	0.023326385	0.041350511	0.000376662	5.89E-09	0.831919647
TCGA-06-5412-01A	1.15E-06	0.007440927	0.14145078	0.017616433	0.074745779	0.000188445	2.51E-08	0.758556455
TCGA-06-5413-01A	0.004316829	0.014827732	0.127028738	0.027803669	0.06321497	0.000337727	8.81E-09	0.762470327
TCGA-06-5414-01A	0.000416679	0.009087169	0.214803592	0.022384905	0.051446931	0.00026996	1.30E-09	0.701590762
TCGA-06-5416-01A	0.002538088	0.013088979	0.137612669	0.033033712	0.02282642	0.000508732	2.66E-10	0.790391399
TCGA-06-5417-01A	0.007721209	0.006956825	0.124549158	0.039737142	0.028557829	0.000399672	1.39E-07	0.792078026
TCGA-06-5418-01A	0.001263061	0.012497796	0.130269628	0.020335311	0.043222488	0.000291192	1.85E-09	0.792120522
TCGA-06-5856-01A	0.002076205	0.012546609	0.126670923	0.025854345	0.045570744	0.000152378	2.57E-08	0.787128769
TCGA-06-5858-01A	0.001933267	0.006549857	0.149943199	0.02266873	0.049229721	0.000328137	2.29E-09	0.769347087
