"","seq1","seq2","seq3","seq4","seq5","seq6","seq7","seq8","seq9"
"FBXW7",0.0663288807001382,0.0736196319018405,0.0526315789473684,0.0728232189973615,0.0609756097560976,0.0382165605095541,0.0712822613682917,0.052924791086351,0.0775862068965517
"FGFR1",0.0290188853063105,0.0245398773006135,0.0131578947368421,0.0263852242744063,0.0182926829268293,0.0191082802547771,0.0237607537894306,0.00278551532033426,0.0258620689655172
"FGFR2",0.0506678949792722,0.0306748466257669,0.0657894736842105,0.0390501319261214,0.0365853658536585,0.0191082802547771,0.0274477673084801,0.0167130919220056,0.0301724137931034
"FGFR3",0.0239520958083832,0.0122699386503067,0.0131578947368421,0.033245382585752,0.0426829268292683,0.0191082802547771,0.0253994264645637,0.00557103064066852,0.0646551724137931
"FLI1",0.0322432058959005,0.0245398773006135,0.0657894736842105,0.0242744063324538,0.0182926829268293,0.0254777070063694,0.0167963949201147,0.00557103064066852,0.0172413793103448
"FLT3",0.0419161676646707,0.0184049079754601,0.0263157894736842,0.0300791556728232,0.024390243902439,0.0254777070063694,0.0294961081523966,0.0222841225626741,0.0301724137931034
"FOXP1",0.0396130815292492,0.0184049079754601,0.0394736842105263,0.0327176781002639,0.0365853658536585,0.0191082802547771,0.0282671036460467,0.00557103064066852,0.0258620689655172
"GATA1",0.0175034546292031,0.00613496932515337,0,0.0100263852242744,0.00609756097560976,0.00636942675159236,0.014338385907415,0,0.00862068965517241
"GATA2",0.0142791340396131,0.0306748466257669,0,0.0163588390501319,0.0304878048780488,0.00636942675159236,0.0126997132322819,0.00278551532033426,0.0172413793103448
"GATA3",0.0382312298479963,0.0306748466257669,0.0526315789473684,0.0622691292875989,0.024390243902439,0.0382165605095541,0.040147480540762,0.0250696378830084,0.0301724137931034
"HRAS",0.0138185168125288,0.0122699386503067,0,0.0174142480211082,0.0182926829268293,0.00636942675159236,0.0188447357640311,0,0.0172413793103448
"ID3",0.0064486411791801,0,0.0263157894736842,0.00527704485488127,0,0,0.005735354362966,0.00278551532033426,0.00862068965517241
"IDH1",0.015660985720866,0.0245398773006135,0.0131578947368421,0.0147757255936675,0.024390243902439,0.00636942675159236,0.014338385907415,0.00835654596100279,0.0344827586206897
"IDH2",0.0115154306771073,0.0122699386503067,0,0.0100263852242744,0.00609756097560976,0,0.00655469070053257,0.00557103064066852,0.0172413793103448
"IKZF1",0.0322432058959005,0.00613496932515337,0.0394736842105263,0.0343007915567282,0.0609756097560976,0.0254777070063694,0.0245800901269971,0.011142061281337,0.0387931034482759
"IL3",0.0064486411791801,0,0.0263157894736842,0.00369393139841689,0.0121951219512195,0.00636942675159236,0.00819336337566571,0,0.0129310344827586
"IL7R",0.0373099953938277,0.0245398773006135,0.0394736842105263,0.0353562005277045,0.0365853658536585,0.0254777070063694,0.0364604670217124,0.011142061281337,0.0603448275862069
"IRF4",0.0202671579917089,0.00613496932515337,0.0263157894736842,0.0184696569920844,0.00609756097560976,0.0127388535031847,0.017206063088898,0.0167130919220056,0.0301724137931034
"JAK1",0.0474435743896822,0.0429447852760736,0.0789473684210526,0.0316622691292876,0.0365853658536585,0.0254777070063694,0.0274477673084801,0.0167130919220056,0.0344827586206897
"JAK2",0.0304007369875633,0.0245398773006135,0,0.0274406332453826,0.0365853658536585,0.0254777070063694,0.0262187628021303,0.00557103064066852,0.0172413793103448
"JAK3",0.0290188853063105,0.049079754601227,0.0657894736842105,0.0327176781002639,0.0548780487804878,0.0127388535031847,0.0290864399836133,0.0306406685236769,0.021551724137931
"KDM6A",0.0396130815292492,0.0184049079754601,0.0526315789473684,0.0496042216358839,0.0365853658536585,0.0636942675159236,0.0499795165915608,0.0389972144846797,0.107758620689655
"KIT",0.0391524643021649,0.049079754601227,0.0131578947368421,0.033245382585752,0.0792682926829268,0.0127388535031847,0.0376894715280623,0.0222841225626741,0.0344827586206897
"KLF2",0.00414555504375864,0,0,0.00158311345646438,0.00609756097560976,0,0.00204834084391643,0.00278551532033426,0.00862068965517241
"KMT2A",0.0686319668355597,0.0552147239263804,0.105263157894737,0.0654353562005277,0.0792682926829268,0.0445859872611465,0.0663662433428923,0.064066852367688,0.0905172413793103
