,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000264144,0.307775052940876,-5.64533926490152,2.59129950226102,0.00961812103484548,0.0374333343935211,-3.24259261260484
ENSG00000225521,-0.371000493741154,-3.9954675372198,-2.57686735134421,0.0100279760848354,0.0386436721987471,-3.24515641373389
ENSG00000219607,0.3804547268861,1.48071978747173,2.65087055828356,0.0080800932958092,0.0327774204947278,-3.2456576027054
ENSG00000111875,0.151752043298248,4.23371542020163,2.75906651672246,0.0058397172804829,0.0253963201520966,-3.24604158872318
ENSG00000129219,-0.160748237246294,4.92504555419694,-2.77678351511654,0.00553169243380215,0.0244045855758689,-3.24640916212723
ENSG00000246596,-0.326974394504428,-1.38009089400049,-2.57719886265727,0.0100183895965124,0.0386162482622964,-3.24653411914837
ENSG00000196110,-0.282619942350664,0.607508560200637,-2.6070950426019,0.00918673442028521,0.0361503664552577,-3.24738895938654
ENSG00000261798,-0.362641926818553,-3.07117724021578,-2.56892643118621,0.0102600644179627,0.039373060164563,-3.24751423632253
ENSG00000187164,0.183428626212726,5.46123066953505,2.81274768735421,0.00495112319214674,0.022446240390321,-3.24918809499575
ENSG00000118402,-0.433211860160294,0.201533241253138,-2.59548818109372,0.00950199927904075,0.0370829397724721,-3.24934736527861
ENSG00000269054,-0.236966320804349,-1.63024382694287,-2.5741758439569,0.0101061109360398,0.0388740877389689,-3.25006364558636
ENSG00000279722,-0.214466476588467,0.051713798914745,-2.59542209214327,0.00950382169049964,0.037085423264513,-3.25156835553842
ENSG00000260695,0.404010955294007,-5.30829584367865,2.58181838947474,0.00988565158542648,0.0381987832146707,-3.25222334124931
ENSG00000276272,0.338864461438178,-3.86012298322477,2.56740593518716,0.0103050455906799,0.0395068864062506,-3.25288024331965
ENSG00000196227,-0.201337950536363,3.84422673712494,-2.72235331156793,0.00652774418844712,0.0277096803264139,-3.25361059013009
ENSG00000233334,-0.301781317715323,-4.5375582694044,-2.57901315519405,0.00996606925669545,0.0384477549066444,-3.25470447052475
ENSG00000277581,0.331493209073196,-4.90058009884391,2.57650453465483,0.0100384772158767,0.038660315997787,-3.25508258979662
ENSG00000214772,-0.40186193269253,-3.13660271000741,-2.56620893061987,0.010340580305431,0.0396188291864007,-3.25511115658067
ENSG00000160961,-0.131374232346152,3.22192812381624,-2.69742333241968,0.00703567268256633,0.0294557247273836,-3.25535346365965
ENSG00000181704,0.122280491079139,5.90942560133989,2.82594588220416,0.00475229459837097,0.0217212026753199,-3.25588979461124
ENSG00000103423,0.13183904744744,5.93810733166112,2.82668795462204,0.00474133314583715,0.021691618303623,-3.25686528863399
ENSG00000132424,-0.172799549826044,6.10678932967599,-2.82193860833915,0.00481188524509827,0.0219390533455428,-3.25706154621265
ENSG00000198064,-0.420738705469482,-2.50280796813621,-2.56472194973343,0.0103848753037065,0.0397447100362662,-3.25773548669265
ENSG00000115129,0.228808141806597,4.69666524858996,2.77675572029713,0.0055321639555379,0.0244045855758689,-3.25840566342025
ENSG00000167080,-0.745206183644644,-1.01697464436698,-2.57246165735401,0.0101561563335136,0.0390222040103594,-3.2585332781454
ENSG00000271967,-0.26381235816798,-2.82346675699654,-2.56396780277026,0.0104074047498621,0.0397859690180796,-3.25888924150619
ENSG00000005961,-0.396157710703268,0.0606378742530607,-2.58918008908763,0.00967735799853439,0.037598363555936,-3.25941401825741
ENSG00000057704,-0.332644539128656,4.24119600825952,-2.73576602423095,0.00626834795179732,0.0268491375009313,-3.26104745610297
ENSG00000227640,0.701779359181573,-2.95242940256255,2.56563679181976,0.0103576035360378,0.0396743289678829,-3.26117148874783
ENSG00000144118,-0.169836264138926,6.01075909242322,-2.81694224523166,0.00488713157023646,0.0222108764444991,-3.26119201967352
ENSG00000167972,-0.519891406084855,5.02654201864007,-2.75982430002402,0.00582623220860011,0.0253654453771245,-3.26159546931592
ENSG00000112280,0.562834549082746,-1.67192498074814,2.57619549435206,0.0100474296053918,0.0386900281898265,-3.26177775802862
ENSG00000223878,-0.255888243614768,-1.81592887213393,-2.56765912822889,0.0102975431585723,0.0394926504945713,-3.26184588136091
ENSG00000198915,-0.449941280552549,1.80868153527622,-2.62724740928974,0.00866148722076855,0.0345751796781554,-3.26211784515475
ENSG00000253931,0.451106091898,-4.1087041203527,2.56460846072379,0.0103882629052484,0.0397528092670795,-3.26223231592644
ENSG00000163528,0.12917867942146,3.64068008091089,2.72584407432027,0.00645932041584323,0.0274863950411794,-3.26274927379174
ENSG00000148483,-0.403948052374474,-1.44267461189632,-2.5691294943352,0.0102540704111883,0.0393597193244583,-3.26349091986667
ENSG00000105928,-0.351101837866555,3.50557645406721,-2.69884571246615,0.00700576429229146,0.0293405086915844,-3.26379677517487
ENSG00000197409,0.371323438157697,-0.886466408164865,2.583202364087,0.00984619068526533,0.0380698269255442,-3.2642278692313
ENSG00000273906,0.679697771571404,-4.50641188701292,2.56536986407726,0.010365554150299,0.0396950578287262,-3.26429870577006
ENSG00000259744,-0.314674457860759,-4.35554950072805,-2.57262136448055,0.0101514844010392,0.0390138414763634,-3.26548190926195
ENSG00000117862,0.118239504552754,6.29695728152167,2.83654558894003,0.00459787875761822,0.0211763842971287,-3.26571154051101
ENSG00000204745,0.159326721827834,0.416565349116348,2.60377692938014,0.00927589325440877,0.036391296145402,-3.26601866488321
ENSG00000113387,0.155820858376496,7.02987385129405,2.86511662595137,0.00420403984292441,0.0197315997911379,-3.26621456499506
ENSG00000182379,-0.621494584928327,1.35764329314264,-2.60993823171538,0.00911094668206548,0.0359199446292805,-3.2669209163789
ENSG00000148225,-0.225076727723913,2.51646577170512,-2.65872224321487,0.00789474200826426,0.0321967905457685,-3.26692714726686
ENSG00000132383,-0.136301174110115,6.40818921715181,-2.83144674605609,0.00467158170095715,0.0214243204202887,-3.26694887525945
ENSG00000103415,0.147298122060096,5.72608780757408,2.81517358098689,0.00491402223775647,0.0222942030368789,-3.26695189740486
ENSG00000272524,0.327463895804793,-4.24087774033312,2.56441545666278,0.0103940262588004,0.0397602658502778,-3.267076607985
ENSG00000182040,-0.666863522733431,-2.51704447321122,-2.56045172830227,0.010513019660019,0.0401270872472503,-3.26797423252402
ENSG00000266934,-0.31303804342731,-3.80573429280449,-2.56503065738989,0.0103756654798734,0.039719185629858,-3.268432492142
ENSG00000232453,-0.254912390071993,-0.258043053429487,-2.58291385406184,0.00985440528898457,0.0380968774203721,-3.26877582362403
ENSG00000279700,-0.304780910945972,-2.02870046677951,-2.56291313928246,0.0104389848318487,0.0398834528008607,-3.26907325366876
ENSG00000136826,-0.364834499789637,4.73147061983965,-2.75093221246739,0.00598625385737702,0.0258819393822545,-3.26949367860286
ENSG00000132591,0.12324955917226,5.6874830225094,2.81145275540788,0.0049710311263673,0.0225103839622379,-3.27067902730381
ENSG00000178202,-0.218047135886956,5.13264545641246,-2.77448118843552,0.00557087319751572,0.024532417696315,-3.27300614111548
ENSG00000137817,-0.185088331845514,5.24532957455374,-2.77972262572224,0.00548203659837825,0.0242518846007486,-3.27329128366451
ENSG00000253479,-0.258318027431392,-5.61322248969545,-2.58333558855758,0.00984239951151452,0.0380698269255442,-3.27495687336656
ENSG00000225936,-0.29774703149564,-5.31098559952318,-2.58023559569667,0.00993095413748954,0.0383391858057629,-3.27578621155079
ENSG00000225706,-0.535810098588314,-2.13337117641017,-2.55810130837005,0.0105841519325399,0.0403385824869113,-3.27676107271718
ENSG00000186118,-0.294377271542153,-3.42391583090231,-2.55846089328641,0.0105732419055709,0.0403028316351811,-3.27688099761004
ENSG00000078747,0.129824148727918,5.8470650488514,2.81638592703069,0.00489557540574972,0.0222330939414644,-3.27704717234272
ENSG00000079785,0.102978528324362,6.69710232116924,2.84655743321046,0.00445621719595992,0.0206455770163394,-3.27861034527904
ENSG00000147394,-0.355224078129632,4.90120516416598,-2.75349305702473,0.0059397675085246,0.0257307634326056,-3.27920974546233
ENSG00000231550,0.390040102897922,-4.02531245761782,2.55753312553424,0.0106014113715638,0.0403745500224654,-3.27932501592286
ENSG00000160124,0.170701595993105,3.78519227091196,2.72794410834627,0.00641846854601404,0.0273423262257176,-3.27947697178326
ENSG00000197915,-0.418831223386827,-2.33814890979712,-2.55643811180714,0.0106347447830242,0.0404682000578802,-3.27972699861099
ENSG00000135722,-0.200081917756713,2.44332485326546,-2.65181853899106,0.00805750969812196,0.0327027794964794,-3.28008922744814
ENSG00000245522,-0.277522465272427,-1.09701565499813,-2.56595072780494,0.0103482597003138,0.0396433943040201,-3.28291924349274
ENSG00000003509,0.104107068881314,3.61806533574225,2.71547347551491,0.00666451125648123,0.0281907383614252,-3.283776696049
ENSG00000168959,-0.477595299451322,-4.24065294199763,-2.56553678776353,0.0103605815847488,0.0396808751827445,-3.28387089478669
ENSG00000172586,0.154407430892573,4.85319388555976,2.77320685926631,0.00559266716471318,0.0246089947799397,-3.28422024634936
ENSG00000250251,-0.263241740233985,1.56651994463002,-2.61742210656134,0.00891412033338505,0.0353400170640654,-3.28512918740044
ENSG00000175772,-0.317456336899907,-0.360607847458796,-2.57349829077498,0.0101258656702705,0.0389297390603737,-3.28584909114129
ENSG00000275540,-0.335313960516647,-4.01450383302911,-2.56048568132823,0.0105119952430855,0.0401270872472503,-3.28616019841329
ENSG00000172869,-0.201157555802451,5.00268155118951,-2.76654314975922,0.00570789059570479,0.0249894039689859,-3.28624827889305
ENSG00000229349,-0.300772457751904,-3.43525718953578,-2.55466473590917,0.010688926132318,0.0406298738518503,-3.28658062785373
ENSG00000231259,0.186055322169321,0.0390786735176275,2.58810032737484,0.0097076619618471,0.0376692943935263,-3.28720372357233
ENSG00000158516,-0.470565667095186,-3.89865341314174,-2.55998086247578,0.010527235596958,0.0401617377556956,-3.28722215254611
ENSG00000266852,0.316738009743655,-4.31626821953734,2.55671529811899,0.0106262981251995,0.0404557518298719,-3.2886527130121
ENSG00000145703,0.367529073409771,4.75310850770017,2.77888890941168,0.0054960810493803,0.0242880268120837,-3.2888325852441
ENSG00000162989,-0.863476448453584,-1.65948828338693,-2.55454119873074,0.0106927096561559,0.0406393151244297,-3.28883855550292
ENSG00000181754,-0.280382020987185,3.31265874330118,-2.68313087605207,0.00734262957499353,0.0303810164815268,-3.28915974713967
ENSG00000170100,-0.179527067283394,3.17090580601055,-2.67995062354614,0.00741254536828165,0.0306176312517082,-3.29031892249919
ENSG00000227268,-0.212395027978877,0.415363814543359,-2.58714969523367,0.00973441187790604,0.0377521263726921,-3.29044787662124
ENSG00000226496,-0.426198431161002,-2.50777699550606,-2.55130484805469,0.0107922535046961,0.0409827766073402,-3.29114801636587
ENSG00000164128,-0.683668280691565,0.697989767776983,-2.58504090765308,0.00979398600897648,0.0379054777235644,-3.29188171832865
ENSG00000060982,0.431349078520379,4.26390361930403,2.75124280068581,0.00598059840437277,0.0258682184130485,-3.29226968364433
ENSG00000105953,-0.17002075722261,7.29171620171823,-2.85473573722354,0.0043434487685561,0.0202642429267699,-3.29266977305355
ENSG00000182154,0.240991095443542,5.03589977560824,2.78135964585037,0.00545455428158494,0.0241439698862681,-3.29311578582021
ENSG00000250731,-0.251456400812171,-1.45931279858117,-2.55785908108774,0.0105915069033805,0.0403537449831441,-3.29454160775872
ENSG00000164532,0.465789508206482,-5.01724149691987,2.55984116674222,0.0105314564486189,0.040172938908798,-3.29667584783214
ENSG00000086548,1.16269950939697,2.18931480239182,2.66905114487731,0.00765671891957898,0.03145582540762,-3.29690813498704
ENSG00000249138,0.369895205968363,-3.83430952762656,2.54936193692162,0.0108524088760536,0.0411512394781037,-3.29734834984794
ENSG00000271614,-0.202853984236499,0.415476921040529,-2.58441379428986,0.00981176482951697,0.0379648883417073,-3.2975445851515
ENSG00000258171,-0.31028366889427,-5.45718807741924,-2.57330065039612,0.0101316345491957,0.0389471292210785,-3.29758930524256
ENSG00000206113,-0.414127675037585,-2.21704435251673,-2.54970961058923,0.0108416225328129,0.0411203121489562,-3.29773832124146
